address,accountno,pin,sale_date_end,Sales Price,impvac,style,year_built,Imp Size SqFt,Lot Size Acres,streetno,streetalp,streetdir,streetsuf,streetname,addition_n,address_zip
1625 N 205 ST,R1908040174,1908040174,5/19/2020,2639934,Vacant,,,,3.63,1625,,N,ST,205,OLDE TOWNE COMMONS,680220000
1414 N 205 ST,R2225563854,2225563854,4/30/2021,2550000,Improved,Office Building,2011,15352,1.441,1414,,N,ST,205,SKYLINE COUNTRY NORTH,680220000
18205  CAPITOL AV,R2502390370,2502390370,1/28/2019,2214610,Vacant,Office Building,2019,137800,6.6872,18205,,,AV,CAPITOL,WEST DODGE HILLS REPLAT TWO,680220000
21206  CUMBERLAND DR,R2225560011,2225560011,10/2/2018,2200000,Improved,Discount Store,2009,20305,2.8,21206,,,DR,CUMBERLAND,SKYLINE COUNTRY WEST,680220000
,R1852040002,1852040002,10/7/2016,2165000,Improved,Neighborhood Shopping Center,2009,20353,2.58,20275,,,DR,HONEYSUCKLE,NROHKLE,680220000
,R1852040002,1852040002,10/7/2016,2165000,Improved,Neighborhood Shopping Center,2009,20353,2.58,20275,,,DR,HONEYSUCKLE,NROHKLE,680220000
21206 CUMBERLAND DR,R2225560011,2225560011,6/12/2013,2135000,Improved,Discount Store,2009,20305,2.8,21206,,,DR,CUMBERLAND,SKYLINE COUNTRY WEST,680220000
20277 WIRT ST,R2542496356,2542496356,1/30/2015,2030000,Improved,Discount Store,1992,33330,3.21,20277,,,ST,WIRT,WINTERBURNS 3RD ADD,680220000
20277 WIRT ST,R2542496356,2542496356,1/30/2015,2030000,Improved,Discount Store,1992,33330,3.21,20277,,,ST,WIRT,WINTERBURNS 3RD ADD,680220000
20277 WIRT ST,R2542496356,2542496356,1/30/2015,2030000,Improved,Discount Store,1992,33330,3.21,20277,,,ST,WIRT,WINTERBURNS 3RD ADD,680220000
20277 WIRT ST,R2542496356,2542496356,1/30/2015,2030000,Improved,Discount Store,1992,33330,3.21,20277,,,ST,WIRT,WINTERBURNS 3RD ADD,680220000
20277 WIRT ST,R2542496356,2542496356,1/30/2015,2030000,Improved,Discount Store,1992,33330,3.21,20277,,,ST,WIRT,WINTERBURNS 3RD ADD,680220000
20277 WIRT ST,R2542496356,2542496356,1/30/2015,2030000,Improved,Discount Store,1992,33330,3.21,20277,,,ST,WIRT,WINTERBURNS 3RD ADD,680220000
20277 WIRT ST,R2542496356,2542496356,1/30/2015,2030000,Improved,Discount Store,1992,33330,3.21,20277,,,ST,WIRT,WINTERBURNS 3RD ADD,680220000
2505 S 192 AV,R0801461602,801461602,9/1/2021,1913159,Improved,Day Care Center,2016,9160,1.1192,2505,,S,AV,192,CENTER RIDGE REPLAT FOUR,680220000
20330  VETERANS DR,R1307801060,1307801060,5/6/2022,1912500,Improved,Neighborhood Shopping Center,2005,11280,1.0144,20330,,,DR,VETERANS,HIGH POINT REPLAT 8,680220000
20010  MANDERSON ST,R1414381110,1414381110,12/20/2019,1712500,Improved,Office Building,2005,10528,1.51,20010,,,ST,MANDERSON,INDIAN CREEK BUSINESS PARK,680220000
18544  WEST MAPLE RD,R0117770000,117770000,9/1/2020,1664395,Improved,Day Care Center,2006,5291,2.61,18544,,,RD,WEST MAPLE,LANDS,680220000
,R1934921156,1934921156,2/24/2017,1489752,Vacant,,,,5.6557,,,,,,PACIFIC STREET WEST REPLAT 13,680220000
5303 S 204 AV,R0900630012,900630012,1/29/2020,1422989,Vacant,,,,1.69,5303,,S,AV,204,COVENTRY NORTH,680220000
20310      BLUE SAGE            PW,R1934921005,1934921005,6/29/2017,1415000,Vacant,,,,1.84,20310,,,PKWY,BLUE SAGE,PACIFIC STREET WEST REP 5*,680220000
18910  BEDFORD AV,R0523380348,523380348,9/6/2018,1393920,Vacant,Mini Warehouse,2019,144450,3.97,18910,,,AV,BEDFORD,ANTLER VIEW,680220000
735 N SKYLINE DR,R1139710006,1139710006,8/4/2021,1335630,Vacant,,,,3.07,735,,N,DR,SKYLINE,G & G SUBDIVISION,680220000
,R0523380563,523380563,6/30/2022,1212714,Vacant,,,,,,,,,,ANTLER VIEW EAST,680220000
21001 WEST MAPLE RD,R0108130019,108130019,9/30/2015,1200000,Improved,Veterinary Office,2009,5092,2.12,21001,,,RD,WEST MAPLE,,680220000
20421  GEORGE B LAKE PW,R0900013220,900013220,4/16/2019,1190000,Vacant,Bank,2020,6728,2.29,20421,,,PKWY,GEORGE B LAKE,COVENTRY,680220000
18451 CALIFORNIA ST,R2502390480,2502390480,6/19/2015,1170000,Vacant,,,,2.616,18451,,,ST,CALIFORNIA,WEST DODGE STATION REPLAT 1*,680220000
725 N SKYLINE DR,R1139710004,1139710004,4/2/2021,1133464,Vacant,,,,3.25,725,,N,DR,SKYLINE,G & G SUBDIVISION,680220000
1119 N 204 AV,R2222580108,2222580108,12/28/2012,1090000,Improved,Neighborhood Shopping Center,2006,5243,0.97,1119,,N,AV,204,SKYLINE COUNTRY 2ND ADDITION,680220000
18101 BURT ST,R2502390466,2502390466,10/27/2011,1085968,Vacant,,,,2.933,18101,,,ST,BURT,WEST DODGE STATION,680220000
,R1139710030,1139710030,3/2/2022,1074588,Vacant,,,,3.27,,,,,,G & G SUBDIVISION REPLAT ONE,680220000
5619 S 204 AV,R0900630206,900630206,2/3/2022,923577,Vacant,,,,1.1014,5619,,S,AV,204,COVENTRY NORTH REPLAT ONE,680220000
3930 N 203 ST,R1414382218,1414382218,8/16/2021,916850,Vacant,,,,1.0794,3930,,N,ST,203,INDIAN CREEK COMMERCIAL PLAZA,680220000
20309  ROBERTS ST,R1307800605,1307800605,4/29/2022,900620,Vacant,,,,1.477,20309,,,ST,ROBERTS,HIGH POINT REP 6,680220000
20309  ROBERTS ST,R1307800605,1307800605,4/29/2022,900620,Vacant,,,,1.477,20309,,,ST,ROBERTS,HIGH POINT REP 6,680220000
18018 BURKE ST,R2502390100,2502390100,9/21/2011,900000,Vacant,,,,1.43,18018,,,ST,BURKE,WEST DODGE HILLS,680220000
1011 S 180 ST,R1934541004,1934541004,11/8/2018,899000,Vacant,,,,1.19,1011,,S,ST,180,PACIFIC SPRINGS PLACE,680220000
,R1934921005,1934921005,7/1/2015,876862,Vacant,,,,1.84,,,,,,PACIFIC STREET WEST REP 5*,680220000
1825 N 205 ST,R1908040178,1908040178,10/6/2021,870000,Vacant,,,,1.2747,1825,,N,ST,205,OLDE TOWNE COMMONS,680220000
820 N 205 ST,R1739441112,1739441112,8/4/2021,852840,Vacant,,,,1.0876,820,,N,ST,205,MENARDS SUBDIVISION REPLAT 5,680220000
3910 N 203 ST,R1414382216,1414382216,3/14/2018,835000,Vacant,Fast Food Restaurant,2018,2735,1.0502,3910,,N,ST,203,INDIAN CREEK COMMERCIAL PLAZA,680220000
20033  ELKHORN RIDGE        DR,R1015360810,1015360810,12/12/2018,825000,Improved,Clubhouse,2006,8858,,20033,,,DR,ELKHORN RIDGE,ELKHORN RIDGE ESTATES REPLAT TWO,680220000
20241  MANDERSON ST,R1414382210,1414382210,5/4/2017,781684,Vacant,,,,0.9736,20241,,,ST,MANDERSON,INDIAN CREEK COMMERCIAL PLAZA,680220000
20505  ROOSEVELT ST,R0900013258,900013258,7/11/2022,762300,Vacant,,,,1.25,20505,,,ST,ROOSEVELT,COVENTRY,680220000
20111 ROBERTS ST,R1307800602,1307800602,10/3/2011,750000,Improved,Day Care Center,2004,6896,1.015,20111,,,ST,ROBERTS,HIGH POINT REPLAT 5*,680220000
5345 S 204 AV,R0900630202,900630202,10/28/2021,750000,Vacant,,,,0.9832,5345,,S,AV,204,COVENTRY NORTH REPLAT ONE,680220000
,R1307800482,1307800482,8/26/2016,750000,Improved,Mini Warehouse,2000,7336,0.64,20120,,,DR,VETERANS,HIGH POINT,680220000
20011  MANDERSON ST,R1414381106,1414381106,12/15/2017,744870,Vacant,,,,1.71,20011,,,ST,MANDERSON,INDIAN CREEK BUSINESS PARK,680220000
20920  CALIFORNIA CR,R0910860478,910860478,4/26/2019,733097,Vacant,Industrial Flex Mall Building,2019,44304,4.2106,20920,,,CR,CALIFORNIA,CRESTLINE,680220000
20920  CALIFORNIA CR,R0910860478,910860478,4/26/2019,733097,Vacant,Industrial Flex Mall Building,2019,44304,4.2106,20920,,,CR,CALIFORNIA,CRESTLINE,680220000
18929  EVANS ST,R0523380340,523380340,7/12/2022,731799,Vacant,,,,1.86,18929,,,ST,EVANS,ANTLER VIEW,680220000
1210 N 205 ST,R2225563860,2225563860,6/30/2020,726576,Vacant,,,,1.398,1210,,N,ST,205,SKYLINE COUNTRY NORTH,680220000
18001 BURT ST,R2502390462,2502390462,2/24/2010,650350,Vacant,,,,1.493,18001,,,ST,BURT,WEST DODGE STATION,680220000
,R1414381116,1414381116,12/21/2016,647955,Vacant,,,,1.75,20040,,,ST,MANDERSON,INDIAN CREEK BUSINESS PARK,680220000
,R1934921001,1934921001,3/6/2015,629507,Vacant,,,,1.62,,,,,,PACIFIC STREET WEST REP 5*,680220000
,R1414381114,1414381114,12/21/2016,624000,Vacant,,,,1.91,20030,,,ST,MANDERSON,INDIAN CREEK BUSINESS PARK,680220000
613 N 204 AVENUE CR,R1939441050,1939441050,1/9/2013,595900,Vacant,,,,1.14,613,,N,CR,204 AVENUE,MENARDS SUBDIVISION REPLAT 3,680220000
1230 N 205 ST,R2225563858,2225563858,1/9/2019,543193,Vacant,Day Care Center,2019,10440,1.45,1230,,N,ST,205,SKYLINE COUNTRY NORTH,680220000
1520  N 205 ST,R2225563852,2225563852,5/10/2019,542427,Vacant,Neighborhood Shopping Center,2020,12800,1.465,1520,,N,ST,205,SKYLINE COUNTRY NORTH,680220000
811 N 205 ST,R1739441004,1739441004,9/12/2014,536070,Vacant,,,,0.82,811,,N,ST,205,MENARDS SUB,680220000
3305 N 190 PA,R0523380478,523380478,7/15/2022,530000,Improved,Office Building,2021,2320,,3305,,N,PLAZA,190,ANTLER VIEW OFFICE CONDOMINIUMS,680220000
3703 N 200 ST,R1414381204,1414381204,11/20/2015,505000,Improved,Office Building,2004,3694,0.4966,3703,,N,ST,200,INDIAN CREEK BUSINESS PARK CONDO,680220000
20211 MANDERSON ST,R1414382204,1414382204,12/29/2014,504147,Vacant,,,,0.7985,20211,,,ST,MANDERSON,INDIAN CREEK COMMERCIAL PLAZA,680220000
3306 N 190 PA,R0523380464,523380464,11/24/2021,490000,Improved,Office Building,2022,2320,,3306,,N,PLAZA,190,ANTLER VIEW OFFICE CONDOMINIUMS,680220000
725 N 210 ST,R0910860485,910860485,7/2/2018,474979,Vacant,,,,1.5961,725,,N,ST,210,CRESTLINE,680220000
725 N 210 ST,R0910860485,910860485,10/5/2018,474979,Vacant,Industrial Flex Mall Building,2019,20164,1.5961,725,,N,ST,210,CRESTLINE,680220000
3424 N 190 PA,R0523380440,523380440,6/28/2021,470000,Improved,Office Building,2020,2320,,3424,,N,PLAZA,190,ANTLER VIEW OFFICE CONDOMINIUMS,680220000
3404 N 190 PA,R0523380452,523380452,9/13/2021,467000,Improved,Office Building,2020,2320,,3404,,N,PLAZA,190,ANTLER VIEW OFFICE CONDOMINIUMS,680220000
3510 N 191 AV,R0523380316,523380316,7/26/2019,462802,Vacant,Day Care Center,2020,12120,1.42,3510,,N,AV,191,ANTLER VIEW,680220000
,R2225563856,2225563856,8/20/2018,462084,Vacant,,,,1.36,,,,,,SKYLINE COUNTRY NORTH,680220000
20020 MANDERSON ST,R1414381112,1414381112,6/15/2015,428500,Vacant,,,,1.56,20020,,,ST,MANDERSON,INDIAN CREEK BUSINESS PARK,680220000
20272  VETERANS DR,R2553500202,2553500202,6/20/2017,426408,Vacant,,,,1.2011,20272,,,DR,VETERANS,ZANDEL REPLAT,680220000
20207  ROBERTS ST,R1307800618,1307800618,11/30/2018,400000,Vacant,,,,1.256,20207,,,ST,ROBERTS,HIGH POINT REP 6,680220000
,R2225570246,2225570246,6/23/2016,400000,Vacant,,,,0.94,1315,,N,ST,205,SKYLINE COUNTRY NORTH REPLAT 1*,680220000
,R0910860500,910860500,3/29/2016,385000,Vacant,,,,1.2032,20915,,,DR,CUMBERLAND,CRESTLINE REPLAT 1,680220000
20320  BLONDO PW,R2507757826,2507757826,9/28/2020,381368,Vacant,,,,2.0538,20320,,,PKWY,BLONDO,WEST HAMPTON PARK,680220000
1414 N 205 ST,R2225563854,2225563854,9/10/2010,376356,Vacant,,,,1.441,1414,,N,ST,205,SKYLINE COUNTRY NORTH,680220000
3401 N 191 AV,R0523380448,523380448,12/30/2020,375000,Improved,Office Building,2020,1664,,3401,,N,AV,191,ANTLER VIEW OFFICE CONDOMINIUMS,680220000
3406 N 190 PA,R0523380450,523380450,3/11/2021,370000,Improved,Office Building,2020,1664,,3406,,N,PLAZA,190,ANTLER VIEW OFFICE CONDOMINIUMS,680220000
20230  ROBERTS ST,R1852080000,1852080000,5/24/2021,365000,Improved,Retail Store,1983,4000,0.36,20230,,,ST,ROBERTS,NROHKLE,680220000
3402 N 190 PA,R0523380454,523380454,12/1/2021,354050,Improved,Office Building,2020,1664,,3402,,N,PLAZA,190,ANTLER VIEW OFFICE CONDOMINIUMS,680220000
3308 N 190 PA,R0523380462,523380462,9/30/2021,350000,Improved,Office Building,2021,1664,,3308,,N,PLAZA,190,ANTLER VIEW OFFICE CONDOMINIUMS,680220000
,R0118030002,118030002,4/11/2016,330000,Improved,Market,1954,3036,1.1,20303,,,RD,PARK,LANDS,680220000
3203 N 204 ST,R2542491017,2542491017,4/12/2017,325000,Vacant,,,,0.5509,3203,,N,ST,204,WINTERBURN HEIGHTS 2ND ADD,680220000
3403 N 191 AV,R0523380446,523380446,4/21/2021,324000,Improved,Office Building,2020,2320,,3403,,N,AV,191,ANTLER VIEW OFFICE CONDOMINIUMS,680220000
21018 CUMBERLAND DR,R2225560014,2225560014,2/27/2014,306000,Vacant,,,,1.26,21018,,,DR,CUMBERLAND,SKYLINE COUNTRY WEST,680220000
19059 MARCY ST,R1222125112,1222125112,4/8/2011,286000,Vacant,,,,0.457,19059,,,ST,MARCY,GROVE THE REP 7*,680220000
,R1307801062,1307801062,3/18/2016,250000,Vacant,,,,0.6994,,,,,,HIGH POINT REPLAT 8,680220000
20488 PARK RD,R0107740000,107740000,2/11/2013,235000,Improved,Office Building,1934,2035,0.19,20488,,,RD,PARK,LANDS,680220000
20513 NICHOLAS CR,R2225570650,2225570650,1/31/2012,232500,Vacant,,,,1.301,20513,,,CR,NICHOLAS,SKYLINE COUNTRY 3RD ADD REP 1,680220000
20513 NICHOLAS CR,R2225570650,2225570650,1/31/2012,232500,Vacant,,,,1.301,20513,,,CR,NICHOLAS,SKYLINE COUNTRY 3RD ADD REP 1,680220000
20513 NICHOLAS CR,R2225570650,2225570650,1/31/2012,232500,Vacant,,,,1.301,20513,,,CR,NICHOLAS,SKYLINE COUNTRY 3RD ADD REP 1,680220000
20207 ROBERTS ST,R1307800618,1307800618,8/29/2012,200000,Vacant,,,,1.256,20207,,,ST,ROBERTS,HIGH POINT REP 6,680220000
2720 N 206 ST,R1015020004,1015020004,5/6/2010,160000,Improved,Retail Store,1950,816,0.18,2720,,N,ST,206,ELKHORN -JONES PLAT-,680220000
2822 N MAIN ST,R1015300006,1015300006,2/28/2022,120000,Improved,Retail Store,1982,1232,0.1,2822,,N,ST,MAIN,ELKHORN -JONES PLAT-,680220000
2802 N 205 ST,R1014510002,1014510002,5/28/2010,111000,Improved,Office Building,1929,855,0.06,2802,,N,ST,205,ELKHORN-CRAWFORD PLAT-,680220000
2826 N MAIN ST,R1015300004,1015300004,6/18/2012,110000,Improved,Retail Store,1917,1690,0.1,2826,,N,ST,MAIN,ELKHORN -JONES PLAT-,680220000
2614 N MAIN ST,R1015160000,1015160000,3/5/2014,89000,Vacant,,,,0.13,2614,,N,ST,MAIN,ELKHORN -JONES PLAT-,680220000
2614 N MAIN ST,R1015160000,1015160000,12/10/2010,82500,Vacant,,,,0.13,2614,,N,ST,MAIN,ELKHORN -JONES PLAT-,680220000
2419 S 217 ST,R2225570468,2225570468,4/16/2013,8000,Vacant,,,,0.85,2419,,S,ST,217,SKYLINE WOODS REPLAT II,680220000
18303 BURT ST,R2502390484,2502390484,4/15/2010,3700,Vacant,,,,5.501,18303,,,ST,BURT,WEST DODGE STATION REPLAT 1*,680220000
27800  IDA ST,R2344721379,2344721379,5/27/2020,1280000,Improved,Retail Store,2015,9205,1.38,27800,,,ST,IDA,VALLEY SHORES,680640000
27800  IDA ST,R2344721379,2344721379,5/27/2020,1280000,Improved,Retail Store,2015,9205,1.38,27800,,,ST,IDA,VALLEY SHORES,680640000
26365  REICHMUTH CR,R0115750015,115750015,5/1/2018,830000,Improved,Storage Warehouse,2012,7732,1.73,26365,,,CR,REICHMUTH,LANDS,680640000
215 W MEIGS ST,R0100120000,100120000,12/31/2021,720000,Improved,Mobile Home Parks  *CODE,1950,1,3.51,215,,W,ST,MEIGS,LANDS,680640000
28534 W REICHMUTH RD,R2345285176,2345285176,9/30/2015,410000,Improved,Industrial Flex Mall Building,2015,7200,0.72,28534,,W,RD,REICHMUTH,VALLEY FARMS 1ST,680640000
28484 W REICHMUTH RD,R2345285222,2345285222,11/17/2021,358000,Improved,Day Care Center,2013,2926,0.77,28484,,W,RD,REICHMUTH,VALLEY FARMS 1ST ADD REP 1,680640000
222 S MAYNE ST,R1723970002,1723970002,9/17/2021,250000,Improved,Church,1948,5366,0.44,222,,S,ST,MAYNE,MAYNE -C E- 1ST ADD,680640000
28434 W REICHMUTH RD,R2345285220,2345285220,10/6/2017,230000,Improved,Storage Warehouse,2007,4000,0.77,28434,,W,RD,REICHMUTH,VALLEY FARMS 1ST ADD REP 1,680640000
6080 N 261 CR,R1619570840,1619570840,12/7/2018,220253,Vacant,,,,1.11,6080,,N,CR,261,LEGACY VALLEY,680640000
214 E REICHMUTH RD,R2418220050,2418220050,5/1/2013,210000,Improved,Mini Warehouse,1995,11652,1.65,214,,E,RD,REICHMUTH,WEEKLYS ADD REP I,680640000
6075 N 261 CR,R1619570832,1619570832,12/7/2018,204874,Vacant,,,,1.03,6075,,N,CR,261,LEGACY VALLEY,680640000
123 E GARDINER ST,R1723350000,1723350000,9/10/2021,200000,Improved,Retail Store,1981,3200,0.14,123,,E,ST,GARDINER,MAYNE -C E- 1ST ADD,680640000
6070 N 261 CR,R1619570838,1619570838,10/30/2017,190000,Vacant,,,,1.08,6070,,N,CR,261,LEGACY VALLEY,680640000
118 W REICHMUTH RD,R2344980000,2344980000,7/6/2018,185000,Improved,Retail Store,1952,2560,0.1784,118,,W,RD,REICHMUTH,VALLEY REPLAT 1,680640000
6060 N 261 CR,R1619570836,1619570836,11/1/2019,175000,Vacant,Industrial Flex Mall Building,2020,11700,0.97,6060,,N,CR,261,LEGACY VALLEY,680640000
118 W 2 ST,R2345210000,2345210000,11/15/2019,160000,Improved,Storage Warehouse,1934,2940,0.15,118,,W,ST,2,VALLEY -TOWN OF-,680640000
127 E GARDINER ST,R1723340000,1723340000,10/8/2021,155000,Improved,Office Building,1925,964,0.06,127,,E,ST,GARDINER,MAYNE -C E- 1ST ADD,680640000
208 N  SPRUCE               ST,R1723290000,1723290000,6/28/2013,155000,Improved,Retail Store,1949,4830,0.11,208,,N,ST,SPRUCE,MAYNE -C E- 1ST ADD,680640000
,R1723350000,1723350000,5/26/2016,150000,Improved,Retail Store,1981,3200,0.14,123,,E,ST,GARDINER,MAYNE -C E- 1ST ADD,680640000
,R0114850004,114850004,3/21/2016,145000,Improved,Retail Store,1944,3617,0.32,306,,W,RD,REICHMUTH,LANDS,680640000
,R2344980000,2344980000,11/30/2016,140000,Improved,Office Building,1952,2560,0.1784,118,,W,RD,REICHMUTH,VALLEY REPLAT 1,680640000
26405  IDA ST,R2330352002,2330352002,11/26/2019,126000,Vacant,Storage Warehouse,2020,8400,6.5113,26405,,,ST,IDA,264 IDA,680640000
219 N SPRUCE ST,R1723120000,1723120000,2/15/2018,100000,Improved,Office Building,1920,1169,0.02,219,,N,ST,SPRUCE,MAYNE -C E- 1ST ADD,680640000
314 W REICHMUTH RD,R1405030810,1405030810,3/4/2013,100000,Improved,Service Garage,2002,3500,0.5974,314,,W,RD,REICHMUTH,HUBBELL PLACE,680640000
324 W REICHMUTH RD,R0114830003,114830003,12/3/2010,100000,Improved,Office Building,1977,3590,0.39,324,,W,RD,REICHMUTH,LANDS,680640000
223 N SPRUCE ST,R1723110000,1723110000,11/17/2020,90000,Improved,Retail Store,1914,1429,0.03,223,,N,ST,SPRUCE,MAYNE -C E- 1ST ADD,680640000
104 E REICHMUTH RD,R2344940002,2344940002,10/26/2010,85000,Improved,Storage Warehouse,1942,4480,0.19,104,,E,RD,REICHMUTH,VALLEY -TOWN OF-,680640000
,R2345000000,2345000000,12/5/2016,68500,Improved,Storage Warehouse,1969,2898,0.2211,114,,W,RD,REICHMUTH,VALLEY REPLAT 1,680640000
312 N SPRUCE ST,R1927130500,1927130500,9/3/2020,39800,Improved,Storage Garage,1950,960,0.1114,312,,N,ST,SPRUCE,ORIGINAL TOWN OF VALLEY REPLAT 2,680640000
103 W GARDINER ST,R1723410000,1723410000,2/25/2013,35000,Improved,Barber/Beauty Shop,1958,576,0.02,103,,W,ST,GARDINER,MAYNE -C E- 1ST ADD,680640000
,R0106250012,106250012,10/17/2016,34000,Vacant,,,,0.81,25910,,,CR,REICHMUTH,LANDS,680640000
227 N SPRUCE ST,R0115020002,115020002,10/8/2014,25000,Vacant,,,,0.13,227,,N,ST,SPRUCE,LANDS,680640000
